model_family,Model,model_name,MAX_CANDS,user_bin,nDCG10_mean,nDCG10_std,HR10_mean,HR10_std,MRR10_mean,MRR10_std,n_users,n_interactions,feasible_cases,total_cases,n_seeds_success,bin_rule,nDCG@10,HR@10,MRR@10
CF,CF-ItemKNN,ItemKNN,200,mid,0.37145415822819716,0.32176569770178165,0.7027027027027027,0.4583088516767535,0.2717031317031317,0.3241650472509048,37,15.837837837837839,185,185,5,"≤12,13–19,≥20",0.3715±0.3218,0.7027,0.2717
CF,CF-LightGCN,LightGCN,50,cold,0.742082023382974,0.2921187833273572,0.9663716814159292,0.18043024794623794,0.6699761202416069,0.35949881437763115,113,4.707964601769912,565,565,5,"≤12,13–19,≥20",0.7421±0.2921,0.9664,0.6700
CF,CF-LightGCN,LightGCN,50,heavy,0.8195601508821537,0.2731532509796265,1.0,0.0,0.7644444444444445,0.35370191503563037,6,21.666666666666668,30,30,5,"≤12,13–19,≥20",0.8196±0.2732,1.0000,0.7644
CF,CF-LightGCN,LightGCN,50,mid,0.7040318518959426,0.29879037468711794,0.9567567567567568,0.20395617141677627,0.6228657228657228,0.3631997768670539,37,15.837837837837839,185,185,5,"≤12,13–19,≥20",0.7040±0.2988,0.9568,0.6229
CF,CF-LightGCN,LightGCN,100,cold,0.7360505410089807,0.29657909707191965,0.9628318584070796,0.1893412854807362,0.6632701222081753,0.3634940572240956,113,4.707964601769912,565,565,5,"≤12,13–19,≥20",0.7361±0.2966,0.9628,0.6633
CF,CF-LightGCN,LightGCN,100,heavy,0.8626642067131285,0.2750831092361478,0.9666666666666667,0.18257418583505536,0.8305555555555556,0.32770633678234734,6,21.666666666666668,30,30,5,"≤12,13–19,≥20",0.8627±0.2751,0.9667,0.8306
CF,CF-LightGCN,LightGCN,100,mid,0.7260634459754207,0.29492224590236904,0.9567567567567568,0.20395617141677633,0.651104676104676,0.35782470203758227,37,15.837837837837839,185,185,5,"≤12,13–19,≥20",0.7261±0.2949,0.9568,0.6511
CF,CF-LightGCN,LightGCN,200,cold,0.7453379286890377,0.2918576355757762,0.9716814159292035,0.1660284019049943,0.6731668773704172,0.36226382383104483,113,4.707964601769912,565,565,5,"≤12,13–19,≥20",0.7453±0.2919,0.9717,0.6732
CF,CF-LightGCN,LightGCN,200,heavy,0.756918408563252,0.33073084231894906,0.9333333333333333,0.2537081317024624,0.701388888888889,0.3884225104388018,6,21.666666666666668,30,30,5,"≤12,13–19,≥20",0.7569±0.3307,0.9333,0.7014
CF,CF-LightGCN,LightGCN,200,mid,0.7083804693868234,0.28855669837993764,0.9675675675675676,0.17762633907651484,0.6247404547404547,0.3565659206137049,37,15.837837837837839,185,185,5,"≤12,13–19,≥20",0.7084±0.2886,0.9676,0.6247
CF,CF-NCF,NCF,50,cold,0.5485113536324284,0.3734733208015286,0.8106194690265487,0.39215779495645314,0.4687203258884675,0.4078211552643054,113,4.707964601769912,565,565,5,"≤12,13–19,≥20",0.5485±0.3735,0.8106,0.4687
CF,CF-NCF,NCF,50,heavy,0.7630872489743721,0.3388515562121146,0.9,0.30512857662936466,0.7180952380952381,0.37740424837317915,6,21.666666666666668,30,30,5,"≤12,13–19,≥20",0.7631±0.3389,0.9000,0.7181
CF,CF-NCF,NCF,50,mid,0.6358035928288082,0.3612683469148736,0.8648648648648649,0.3427955850955306,0.5637129987129987,0.40490732805845037,37,15.837837837837839,185,185,5,"≤12,13–19,≥20",0.6358±0.3613,0.8649,0.5637
CF,CF-NCF,NCF,100,cold,0.5452166002645692,0.39108564945987506,0.7787610619469026,0.41544885737123977,0.4744634077819918,0.42170421642991285,113,4.707964601769912,565,565,5,"≤12,13–19,≥20",0.5452±0.3911,0.7788,0.4745
CF,CF-NCF,NCF,100,heavy,0.7970042355114593,0.32308213254800056,0.9333333333333333,0.2537081317024624,0.7545238095238095,0.3729718003753169,6,21.666666666666668,30,30,5,"≤12,13–19,≥20",0.7970±0.3231,0.9333,0.7545
CF,CF-NCF,NCF,100,mid,0.6420830933699352,0.3486813408368069,0.8864864864864865,0.31808031710813195,0.5648584298584298,0.3975868467112376,37,15.837837837837839,185,185,5,"≤12,13–19,≥20",0.6421±0.3487,0.8865,0.5649
CF,CF-NCF,NCF,200,cold,0.5463014124099167,0.3921905415693338,0.7769911504424779,0.4166330872052416,0.47612796741115326,0.4229362498233604,113,4.707964601769912,565,565,5,"≤12,13–19,≥20",0.5463±0.3922,0.7770,0.4761
CF,CF-NCF,NCF,200,heavy,0.7484798524119741,0.32453905576427894,0.9333333333333333,0.2537081317024624,0.6892857142857143,0.3807258922373668,6,21.666666666666668,30,30,5,"≤12,13–19,≥20",0.7485±0.3245,0.9333,0.6893
CF,CF-NCF,NCF,200,mid,0.6280402969002536,0.35661133294042,0.8648648648648649,0.3427955850955305,0.5534041184041184,0.3981543687400367,37,15.837837837837839,185,185,5,"≤12,13–19,≥20",0.6280±0.3566,0.8649,0.5534
CF,CF-SVD,SVD,50,cold,0.6898604894621736,0.2994699314585531,0.9628318584070796,0.18934128548073623,0.6034428992836073,0.3675606861962274,113,4.707964601769912,565,565,5,"≤12,13–19,≥20",0.6899±0.2995,0.9628,0.6034
CF,CF-SVD,SVD,50,heavy,0.8339522755442722,0.26931923485393783,0.9666666666666667,0.18257418583505536,0.7907407407407407,0.3225204503544474,6,21.666666666666668,30,30,5,"≤12,13–19,≥20",0.8340±0.2693,0.9667,0.7907
CF,CF-SVD,SVD,50,mid,0.6968201904096505,0.31621452513635195,0.9405405405405406,0.23712437052638075,0.6193350493350493,0.3773328167250336,37,15.837837837837839,185,185,5,"≤12,13–19,≥20",0.6968±0.3162,0.9405,0.6193
CF,CF-SVD,SVD,100,cold,0.69317536366771,0.3131860936013949,0.9486725663716814,0.22086027973472577,0.6125733951397668,0.3779236265037627,113,4.707964601769912,565,565,5,"≤12,13–19,≥20",0.6932±0.3132,0.9487,0.6126
CF,CF-SVD,SVD,100,heavy,0.8747968384951236,0.25562434467407247,0.9666666666666667,0.18257418583505536,0.8447619047619047,0.3023886452869861,6,21.666666666666668,30,30,5,"≤12,13–19,≥20",0.8748±0.2556,0.9667,0.8448
CF,CF-SVD,SVD,100,mid,0.7203143377766932,0.2983194080049011,0.9567567567567568,0.20395617141677633,0.6438009438009439,0.3630395065706603,37,15.837837837837839,185,185,5,"≤12,13–19,≥20",0.7203±0.2983,0.9568,0.6438
CF,CF-SVD,SVD,200,cold,0.6940112953305118,0.3058324126339625,0.9610619469026549,0.19361878000695112,0.6099873577749685,0.3751363546336301,113,4.707964601769912,565,565,5,"≤12,13–19,≥20",0.6940±0.3058,0.9611,0.6100
CF,CF-SVD,SVD,200,heavy,0.8136857273840123,0.3011134865552742,0.9333333333333333,0.2537081317024624,0.7733333333333333,0.34401283055462756,6,21.666666666666668,30,30,5,"≤12,13–19,≥20",0.8137±0.3011,0.9333,0.7733
CF,CF-SVD,SVD,200,mid,0.696978386460131,0.3093542129364445,0.9459459459459459,0.22673796717341335,0.6176190476190476,0.37064438811182865,37,15.837837837837839,185,185,5,"≤12,13–19,≥20",0.6970±0.3094,0.9459,0.6176
