Model,Seed,MAX_CANDS,best_b_cbf,coverage_rate,feasible_nDCG@10,feasible_HR@10,feasible_MRR@10,feasible_cases,total_cases,best_b,cbf_model,cf_model,blend_method,method_params,is_selected_best,blend_params,explanation_type,explanation_distribution,reason_th,topk_longtail_rate_mean_x,topk_avg_popularity_mean_x,coverage_item_catalog_rate,faithfulness_mean_rank_drop,model_family,model_name,run_id,config_hash,xai_conf_mean,xai_coverage_rate_topk,xai_balanced_rate,xai_faithfulness_drop_mean,topk_longtail_rate_mean_y,topk_avg_popularity_mean_y,ndcg_cold_mean,ndcg_heavy_mean,ndcg_mid_mean,hr_cold_mean,hr_heavy_mean,hr_mid_mean,mrr_cold_mean,mrr_heavy_mean,mrr_mid_mean
CBF-Qwen2-0.5B,2024,100,0.05,1.0,0.6780518770969685,0.9615384615384616,0.5890745828245828,156,156,,,,,,True,,,,,,,,,CBF,Qwen2-0.5B,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-Qwen2-0.5B,555,100,0.15,1.0,0.7140479518617391,0.9487179487179487,0.6384047932124858,156,156,,,,,,True,,,,,,,,,CBF,Qwen2-0.5B,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-Qwen2-0.5B,42,200,0.05,1.0,0.7183667292617409,0.9487179487179487,0.6438593813593815,156,156,,,,,,True,,,,,,,,,CBF,Qwen2-0.5B,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-Qwen2-0.5B,123,200,0.05,1.0,0.6782148893264873,0.9487179487179487,0.591957851516675,156,156,,,,,,True,,,,,,,,,CBF,Qwen2-0.5B,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-Qwen2-0.5B,999,200,0.05,1.0,0.6964018705218514,0.9487179487179487,0.6173560236060235,156,156,,,,,,True,,,,,,,,,CBF,Qwen2-0.5B,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-Qwen2-0.5B,2024,200,0.05,1.0,0.7112770103099669,0.9551282051282052,0.63537772768542,156,156,,,,,,True,,,,,,,,,CBF,Qwen2-0.5B,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-Qwen2-0.5B,555,200,0.05,1.0,0.7142363608691586,0.967948717948718,0.6350292335869262,156,156,,,,,,True,,,,,,,,,CBF,Qwen2-0.5B,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CF-SVD,42,50,,1.0,0.6924714010984213,0.9487179487179487,0.6112408424908425,156,156,0.3,,,,,True,,,,,,,,,CF,SVD,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CF-SVD,123,50,,1.0,0.6784494868958403,0.9615384615384616,0.5902955840455841,156,156,0.3,,,,,True,,,,,,,,,CF,SVD,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CF-SVD,999,50,,1.0,0.7100679151551572,0.9423076923076923,0.6360169922669924,156,156,0.3,,,,,True,,,,,,,,,CF,SVD,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CF-SVD,2024,50,,1.0,0.68493994251413,0.967948717948718,0.5948310948310949,156,156,0.3,,,,,True,,,,,,,,,CF,SVD,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CF-SVD,555,50,,1.0,0.7193371520174832,0.967948717948718,0.6396952584452585,156,156,0.3,,,,,True,,,,,,,,,CF,SVD,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CF-SVD,42,100,,1.0,0.7312216772448951,0.967948717948718,0.6564560439560442,156,156,0.3,,,,,True,,,,,,,,,CF,SVD,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CF-SVD,123,100,,1.0,0.6691873601694487,0.9294871794871795,0.5867114367114369,156,156,0.3,,,,,True,,,,,,,,,CF,SVD,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CF-SVD,999,100,,1.0,0.7130366412832894,0.9423076923076923,0.639250101750102,156,156,0.3,,,,,True,,,,,,,,,CF,SVD,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CF-SVD,2024,100,,1.0,0.6961803650738018,0.9551282051282052,0.6146392958892958,156,156,0.3,,,,,True,,,,,,,,,CF,SVD,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CF-SVD,555,100,,1.0,0.723362021073422,0.9615384615384616,0.6474944037444039,156,156,0.3,,,,,True,,,,,,,,,CF,SVD,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CF-SVD,42,200,,1.0,0.7076936402603773,0.9487179487179487,0.6319724257224258,156,156,0.3,,,,,True,,,,,,,,,CF,SVD,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
